Min N,Max N, Event , Region , State , National,Short Name
2,6,Agriculture and Biotechnology Design ,4,2,3/s,Ag & Biotech
1,1,Career Prep,5,2,1,Career Prep
2,2,Challenging Technology Issues,4,Q,3/s,Chall Tech Issues
3,3,Chapter Team,,1,1,Chapter Team
1,1,Communication Challenge,5,2,1,Comm Chall
2,6,Construction Challenge,4,2,1,Construct Chall
1,1,Digital Photography,5,1,3/s,Dig Photog
1,1,Dragster,8,Q,2,Dragster
2,6,Electronic Gaming,5,2,1,Elect Gaming
2,3,Engineering Structure,5,Q,1,Eng Structure
2,6,Environmental Focus,4,2,1,Env Focus
1,2,Flight,8,2,2,Flight
6,6,Global Manufacturing,,1,1,Glob Manuf
3,6,Go Green Manufacturing,4,1,1,Green Manuf
1,2,Graphic Design,5,1,2,Graphic Design
3,6,Inventions and Innovations,3,2,1,Inv and Innov
3,3,Leadership Strategies,3,1,1,Lead Strategies
1,6,"Lights, Camera, Action",3,1,3/s,"Lights, Camera"
2,6,Medical Technology Issues,4,2,3/s,Med Tech
1,1,Multimedia Production,5,1,1,Multi Present
1,1,Prepared Speech,3,Q,1,Prep Speech
2,2,Problem Solving,3,Q,1,Prob Solving
2,2,Robot TOBOR,,1,1,Robot TOBOR
3,3,System Control Technology,4,1,1/s,Sys Control
3,3,Technology Bowl,4,2,1,Tech Bowl
1,1,Technical Drawing,3,2,2,Tech Drawing
2,2,Techno Talk,2,1,2/s,Tech Talk
1,1,Transportation Challenge,3,1,2,Trans Chall
2,6,TSA Cup: Marine Design,4,1,1,Marine Design
3,5,Website Design,4,1,1,Web Design
1,1,Technical Writing,5,1,3/s,Tech Writing
1,1,Electrical Applications,5,2,2,Elect Applic
1,1,PA Computer Aided Drafting and Design,3,2,,PA CADD
1,1,PA Delta Dart,,5,,PA Delta Dart
1,1,PA Digital Photography,,4,,PA Dig Photo
2,2,PA Digital Video Challenge,4,1,,PA Dig Video
1,1,PA Materials Process,5,2,,PA Mat Proc
2,2,PA Mechanical Challenge,4,1,,PA Mech Chall
2,2,PA RC Vehicle,,1,,PA RC Vehicle
1,1,PA Safety Illustration Computer Generated,5,1,,PA Safety Illus
1,1,PA Stencil Logo Design,,2,,PA Stencil Logo
1,1,Biomedical Research Essay,5,Q,,Biomed Essay
